PRO_COM;NOME;a1_1;a1_2;a2;a3;a4;a5;a6;a7;b1_1;b1_2;b2_1;b2_2;b3;b4;b5;b6;b7;b8;b9;c1;c2;c3;c4;c5;c6;c7;d1;d2;d3;d4;d5;d6;d7;d8;e1;e2_1;e2_2;e3;e4;e5;e6;f1;f2;f3_1;f3_2;f4;f5;f6;f7;f8;g1;g2_1;g2_2;g3;g4;g5;g6;g7;g8;g9;h1;h2;h3;h4;h5;h6;h7;i1;i2;i3;i4;l1;l2;l3;l4;l5;m1_1;m1_2;m2_1;m2_2;m2_3;m3_1;m3_2;m3_3;m4;n1;n2;n3;n4;n5;n6;n7;n8;o1_1;o1_2;o2_1;o2_2;o3;o4
28102;Villa Estense;-1,2;-1,3;5,2;10,5;2,6;-14,4;1,5;0,1;113,6;984,5;26,0;0,21;8239,3;68,2;71,0;710,9;52,7;15,2;6,8;-0,6;181,5;144,5;0,3;0,0;4,3;2;48,5;320,7;67,7;0;0,84;0,24;2,2;-0,05;0,5;0;1;0;0;0;0;0,0;3;0;3;0,0;-0,29;0,4;13,5;0,4;0,3;0,0;0,0;10,6;7,6;32,6;5,0;0,7;22,6;0,0;0,1;5,3;15,5;0,1;0,5;99,6;29,5;2,8;9459,6;1,6;2228,6;0,1816;82,2;93,3;106,3;1,54;0,065;0,00;0,0;0;0;0,9;7;0;0;738,1;95,1;406,4;12,5;57,2;69,2;3,6;9,5;5,556;10,8;0;0;0;0
28103;Villafranca Padovana;0,8;20,2;-0,1;6,0;-1,0;-6,6;2,0;0,0;325,6;2084,5;26,2;0,17;8884,2;75,8;31,4;357,4;38,2;15,8;23,6;20,5;93,8;123,9;0,5;0,0;8,2;7;56,5;255,8;72,3;0;0,88;0,18;5;0,38;5,2;0;0;0;0;0;0;0,0;4;0;3;0,0;0,00;0,2;10,5;0,1;0,2;0,0;0,0;8,9;5,6;19,9;5,7;0,8;15,5;0,0;0,1;2,4;5,2;0,0;1,9;99,8;23,8;5,5;8946,4;1,7;2606,8;0,1805;91,2;33,1;119,7;1,44;0,106;0,00;0,0;0;0;0,0;0;0;0;435,7;90,9;349,3;12,5;71,7;80,0;7,9;12,7;6,616;13,0;0;0;0;0
28104;Villanova di Camposampiero;0,8;14,8;0,9;3,2;9,7;-1,4;3,0;0,2;362,3;1212,9;14,6;0,10;6606,7;75,2;35,5;540,6;38,7;14,0;30,9;17,8;101,6;104,8;0,4;0,0;9,2;0;56,2;211,7;70,8;0;0,87;0,19;6;0,19;0,4;0;0;0;0;0;0;38,0;4;0;3;0,0;-0,26;0,2;9,3;0,0;0,4;0,0;0,0;12,8;5,8;16,0;7,1;0,9;19,1;0,0;0,2;5,8;14,0;0,1;1,8;99,8;22,1;8,5;8408,2;2,3;2807,6;0,1770;87,0;36,8;102,6;1,49;0,099;0,00;0,0;0;0;4,3;371;11;0;432,6;86,1;265,2;12,8;75,7;68,5;7,2;12,0;5,921;9,9;0;0;0;0
28105;Vo';-0,1;0,3;-1,0;8,2;11,1;0,7;3,0;-0,1;131,1;1394,3;47,1;0,42;7443,8;70,1;77,9;762,4;50,2;18,8;14,4;2,8;192,3;126,7;0,8;0,0;6,2;3;53,3;271,5;65,1;0;0,76;0,31;4,6;0,30;27,4;0;0;0;0;0;0;0,7;3;0;2;0,0;-0,02;0,6;11,6;0,3;0,9;0,0;0,0;14,1;6,2;19,9;5,8;1,3;19,3;0,3;0,4;3,5;20,5;0,1;0,4;99,3;30,5;4,8;9073,8;2,6;1642,9;0,2083;77,8;43,1;131,3;1,56;0,079;0,00;0,4;10;1;15,7;426;24;0;733,7;75,9;#N/D;15,4;68,0;#N/D;4,2;12,0;7,670;10,4;0;0;0;0
28106;Due Carrare;0,2;16,1;-1,1;6,2;3,6;4,5;2,4;0,2;272,6;2264,2;30,8;0,21;7990,3;74,6;40,4;414,6;42,8;22,2;20,0;8,3;107,3;131,4;0,3;0,0;6,8;5;56,4;260,9;70,6;0;0,86;0,18;4;0,38;2,6;0;1;0;0;1;0;0,0;4;0;3;0,0;-0,10;0,3;10,8;0,1;0,3;0,0;0,0;9,6;6,0;21,2;3,8;0,8;19,1;0,0;0,1;1,6;10,4;0,1;1,5;99,8;24,4;4,6;9109,6;2,2;2378,8;0,1839;92,3;38,7;86,3;1,39;0,068;0,00;0,0;0;0;9,7;570;32;0;511,0;89,3;489,6;11,4;73,5;69,3;8,1;13,0;5,811;10,6;0;0;0;0
29001;Adria;-0,7;-2,4;-0,9;6,8;12,7;6,3;2,4;0,1;190,6;2144,9;13,1;0,08;6425,5;64,3;69,2;382,5;38,0;28,8;9,6;3,9;221,5;135,7;0,7;16,8;5,7;21;46;337,4;63;0;0,85;0,50;5,6;0,31;1,4;10836;2;0;0;0;0;17,9;3;1;3;9,5;0,00;0,3;6,6;0,2;0,6;0,0;1,1;13,1;10,0;32,3;6,8;1,2;23,0;1,7;0,3;2,1;24,8;0,1;0,6;99,7;27,5;5,0;9037,5;2,2;1399,7;0,1911;78,4;63,2;159,4;1,46;0,060;0,00;0,0;0;0;1,9;15;2;2;515,7;91,4;495,9;26,8;75,2;69,1;2,0;11,2;8,790;15,6;0;0;0;0
29002;Ariano nel Polesine;-1,4;-6,8;2,1;9,5;10,0;-8,4;0,6;0,4;52,3;1415,6;25,2;0,21;7775,9;62,2;35,4;849,6;43,4;20,8;4,2;3,6;261,7;151,3;0,6;0,0;5;5;44,9;275,9;58,1;0;0,79;0,38;3,9;0,68;3,2;0;0;0;0;0;1;23,1;4;0;1;0,0;-0,16;0,4;7,0;0,4;0,5;0,0;0,0;20,2;8,3;24,7;7,8;1,5;27,7;1,0;0,2;6,5;25,5;0,2;3,7;99,7;33,2;5,1;9009,5;2,5;2403,4;0,1671;76,0;71,5;76,0;1,61;0,061;0,00;0,0;0;0;12,9;438;65;0;1127,1;87,5;433,1;22,2;74,7;66,5;0,6;11,0;4,255;7,7;0;0;0;0
29003;Arquà Polesine;-0,7;-1,7;-1,2;10,1;9,5;-12,1;-0,4;0,2;131,6;1315,2;16,4;0,11;8057,7;73,4;41,9;604,2;51,1;16,6;9,9;2,2;205,1;140,0;0,5;0,0;6,3;2;49,8;298,2;66,9;0;0,83;0,24;3,8;0,72;19,1;0;0;0;0;0;0;0,0;4;0;4;0,0;-0,13;0,4;10,4;0,4;0,0;0,0;0,0;10,5;5,1;21,6;4,0;0,7;22,4;0,0;0,0;5,0;16,0;0,0;0,7;99,6;26,7;4,1;9212,5;2,1;3655,3;0,1786;75,0;29,3;71,4;1,45;0,071;0,00;0,0;0;0;0,0;0;0;2;896,8;91,3;480,6;15,1;69,8;69,0;2,3;12,0;4,848;15,3;0;0;0;0
29004;Badia Polesine;-0,7;1,8;0,8;7,5;-0,2;-9,2;1,6;0,1;268,3;2144,6;17,6;0,15;7571,4;68,1;61,9;485,7;47,1;25,8;6,8;10,3;176,1;132,1;0,8;0,0;6,9;8;50,6;274,6;67,1;0;0,86;0,51;6,8;0,75;2,7;0;0;0;0;0;0;4,2;3;0;3;0,0;-0,03;0,2;6,1;0,1;0,7;0,4;1,3;12,9;6,9;21,3;6,5;1,1;22,1;1,7;0,3;3,7;10,8;0,0;1,9;99,7;30,0;8,8;8338,3;2,9;2597,5;0,1944;91,5;43,0;86,3;1,39;0,073;0,00;0,0;0;0;0,0;0;0;0;643,9;90,6;512,4;22,6;73,4;64,6;3,5;11,0;7,652;16,9;0;0;0;0
29005;Bagnolo di Po;-2,0;-3,7;-0,7;5,0;1,6;-8,7;1,5;0,2;50,4;1347,2;41,8;0,29;8823,7;72,4;58,9;814,7;55,8;11,3;4,9;6,6;217,2;126,3;0;0,0;6,7;1;47,2;260;61,6;0;0,79;0,23;4,4;-0,28;5,0;0;0;0;0;0;0;42,8;3;0;3;0,0;-0,26;0,7;5,5;0,7;0,5;0,0;0,0;18,7;7,5;17,3;6,1;0,7;24,3;0,0;0,2;1,1;16,1;0,0;5,3;99,6;29,1;12,3;7752,5;2,5;1494,9;0,1784;82,4;43,0;56,8;1,55;0,088;0,00;0,0;0;0;4,8;15;0;0;885,9;92,8;385,6;13,9;61,0;70,2;1,5;8,3;6,433;9,8;0;0;0;0
