;codice_provincia;provincia;variazione_pop_residente;densita_umana;dispersione_abitazioni;mobilita_privata;sottoutilizzo_abitazioni;densita_commercio_dettaglio_sede_fissa;attrattivita_residenziale;vecchiaia;verde_urbano_pro_capite;coppie_giovani_con_figli;occupazione;ricambio_occupazionale;presenza_universitaria;pendolarismo;mobilita_residenziale;dinamismo_economico;tasso_funzione_ricettiva;visitatori_luoghi_cultura;luoghi_cultura;poli_fieristici;stadi;intrattenimento;hub_commerciali;digital_divide;stazione_silver;stazioni_accessibili;posti_letto_ospedale;dinamismo_pa;mobilita_pubblica;biblioteche;abbandono_scolastico_1grado;abbandono_scolastico_2grado;uscita_precoce_istruzione_formazione;disoccupazione;disoccupazione_giovanile;giovani_fuori_mercato_lavoro_formazione;famiglie_rischio_disagio_economico;anziani_soli;suicidio;affollamento_abitazioni;edifici_residenziali_pessimo_stato;servizi_abitazione;popolazione_straniera;coppie_miste;gini;occupazione_ita_straniera;occupazione_m_f;pericolo_frana;suolo_consumato_pro_capite;suolo_agricolo_utilizzato;rifiuti_urbani_pro_capite;mobilita_lenta;acqua_potabile;raccolta_differenziata;impianti_fotovoltaici;auto_e5_e6;cnr;centri_eccellenza
23;CE;Caserta;-0.6;1767.8;0.01;65.9;38.3;62.2;-2.6;133.6;21.6;5.4;40.2;433.9;4;0.81;5.5;0.05;3.9;0;7;0;1;1;1;1.6;1;4;8.4;0.8;7.6;0.2;0.1;0.5;7.5;16.5;51.1;11.6;3.7;25.6;0;0.4;1.1;99.4;3.4;1.4;0.2213;56.6;1.53;20.6;163.4;88.4;536.5;25.9;87.3;43.1;4.9;9.7;0;0
24;CT;Catania;1.5;2003.4;0.01;67.7;27.2;70.2;-5;139.6;5.2;9.3;32.7;322.3;1;0.83;5.2;0.24;1.3;0;9;1;1;2;2;1.5;1;4;9.6;0.77;8.6;0.4;0.5;1.1;31.1;27.3;61.5;19.8;7.8;30.4;15.7;2.1;6.8;98.4;2.4;1.1;0.2288;54.6;1.8;0.1;159.1;90.6;648.7;21.9;94.9;10.1;3.3;6.2;2;1
25;CZ;Catanzaro;-0.5;940.2;0.01;68.7;29.3;44.4;-3.3;138.1;0;6.6;39;336.5;1;0.82;5.9;0.07;1.2;0;12;0;1;0;2;0;1;4;9.2;0.9;11.9;0.1;0.3;0.5;11.5;16.3;47.5;15.1;4.5;26.7;0;0.9;2.2;98.5;1.9;1.2;0.2194;73.6;1.55;5.4;222;84.6;468.5;18.2;108.2;4.1;4.4;10.7;0;0
26;CH;Chieti;-0.8;1132.9;0.08;66.6;32.9;49.3;-3.2;198.1;6.4;4.6;42.5;354.1;0.5;0.83;6.2;0.4;4.2;22225;7;0;1;2;2;0;1;4;13;0.98;13.8;0.2;0.1;1.3;10.2;12.1;39.2;9.1;1.9;23.1;4.3;0.4;0.8;99.7;3.1;1.6;0.2029;78.5;1.44;17.1;231.3;88.7;450.1;18.3;119.3;59.2;4.6;11.1;0;0
27;CO;Como;-0.2;2730.2;0;58;28.7;34;8.8;201.8;0;5.9;48.1;322;1.5;0.87;7.2;0.67;9.7;0;8;0;1;1;0;0;1;4;4.4;1.64;18.8;0.3;0.1;0.5;11.5;7.3;23.4;7.6;1.1;29.5;5.7;0.4;1.5;99.7;11.3;3.5;0.2302;73.9;1.4;8.1;140.9;63.1;470.9;22.6;107.1;33.8;4.8;17.3;0;0
28;CS;Cosenza;-0.7;2338.8;0.03;60;38.1;95.6;-0.3;190.8;3.7;5.4;37.1;454.3;0;0.8;6.8;0.23;3.6;15480;7;0;1;0;0;3;1;0;15.4;0.76;12.5;0.3;0.1;1.1;14.9;19.3;55.8;15.3;4.6;28.5;3.3;0.7;6.5;99.3;4.4;1.2;0.2234;68.1;1.53;7.2;132.1;54.1;476.6;26.1;73.7;22.3;4.8;8.6;0;0
29;CR;Cremona;0;1177.2;0.01;58.4;34.7;44.2;6.7;225.9;5.1;6;47.2;351.3;2;0.87;7.2;0.56;2.4;0;8;1;1;1;2;0.7;1;4;12.4;0.57;7.4;0.3;0;0.9;12.2;7.4;28.1;8;1;33;6.3;0.3;0.8;99.7;11.2;2.8;0.2043;79.7;1.4;0;282.3;89.7;530.3;33.2;116;44.3;5.9;15.1;0;0
30;KR;Crotone;0.2;356.7;0.04;67.5;28.2;38;-0.8;95.4;16.1;10.6;36;297.1;0;0.84;7;0.08;2;29668;6;0;0;0;0;1.8;1;0;8.3;0.68;7.9;0.1;0.1;1.1;16.9;23.2;56.1;17.7;7;24.4;3;1.2;2.1;98.7;2.2;1.3;0.2175;71.2;1.66;0.7;232.5;86.2;522.4;19.7;75.6;17.4;2.5;8;0;1
31;CN;Cuneo;0.1;605.2;0.08;58.6;29;32.7;6.2;181;5.3;6;49.4;279.7;2.5;0.86;7.8;0.84;2.1;0;8;0;0;0;3;1.6;1;4;11.7;1.13;9.6;0.2;0;1.1;13.5;6.2;21.3;8.1;0.9;30.3;4.3;0.3;0.7;99.7;8.9;2.5;0.2074;79;1.34;0;341.5;95.2;230.6;29.4;104.7;44.5;4.5;14.6;0;0
32;EN;Enna;0.1;95;0.14;64.2;30.4;59.6;-1.6;169.2;0;5.7;39.1;384.6;1.5;0.84;5.4;-0.07;0.8;0;1;0;0;0;1;1.4;1;0;6.9;0.49;7.9;0.1;0.1;0.4;17.3;14.5;45;12.6;2.9;27;2;0.6;2.4;99.1;2;0.6;0.2201;67.7;1.66;0.6;481.1;91.8;441.2;25.6;65.5;9.2;0.6;6.8;0;0
